dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
1.5743,0,7,0,-0.014996,0,8,0.097,-0.014996,0,16,1.003,1.5893,0,5,-1.197,1.5893,0,0,0,0,0,6
1.1762,0,5,0,0.0408,0,9,0,0.0408,0,1,0.203,0.030481,0,5,-0.108,0.013392,0,1,-0.198,1.0915,0,7
2.0685,0,11,0,-0.0014161,0,6,0.1,-0.010174,0,3,-0.1,-0.010174,0,4,2.3842e-07,-0.010174,0,1,-0.1,-0.01086,0,2
1.6166,0,12,0,-0.035744,0,15,0.096,-0.59659,0,5,1.204,-0.051101,0,8,-1.297,-0.051101,0,10,-1.393,-0.046645,0,1
2.249,0,5,0,-0.051101,0,8,0.099,-0.051101,0,10,0.003,-0.046645,0,5,-0.101,-0.030111,0,1,-0.202,-0.12593,0,1
2.5804,0,8,0,-0.0057143,0,5,0.4,-9.1059e-05,0,1,-0.308,-0.0091668,0,5,1.012,0.0037995,0,8,-1.897,0.0062199,0,1
3.2446,0,5,0,0.030694,0,1,0.1,0.030694,0,4,-0.1,0.030694,0,5,-0.0010002,0.014459,0,3,-0.199,0.014459,0,5
1.0915,0,1,0,1.0915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1.9567,0,1,0,-0.00015909,0,5,0.1,-0.0013691,0,4,-0.1,-0.0013691,0,6,-2.3842e-07,-0.00020365,0,1,-0.1,1.9584,0,2
1.7878,0,1,0,0.0038384,0,2,0,0.0038384,0,4,0.108,0.0010389,0,5,-0.011,-4.8442e-05,0,3,-0.205,-4.8442e-05,0,4
1.9744,0,5,0,-0.00020655,0,1,0.2,-0.002847,0,5,0,-0.0014825,0,8,-0.2,-0.00021175,0,5,-0.4,0.0026055,0,2
1.6246,0,6,0,-0.0018719,0,4,0.00099993,-0.0018719,0,5,0.1,0.0061424,0,8,-0.00099993,-0.002539,0,3,-0.203,-0.002539,0,4
1.7067,0,5,0,-0.0021096,0,4,0,-0.0021096,0,7,0.098,-0.018791,0,8,-0.098,-0.018791,0,2,0.0039999,-0.012034,0,3
1.5573,0,4,0,0.00060016,0,6,0.101,4.8965e-05,0,1,-0.101,4.8965e-05,0,3,-0.0020001,-0.0010814,0,4,0,0.00075862,0,2
2.1687,0,3,0,0.012598,0,5,0.099,0.012598,0,8,0.0039999,-0.024911,0,15,-0.007,-0.024725,0,5,-0.397,-0.024725,0,1
3.4882,0,3,0,-0.032618,0,14,0.091,-0.010324,0,8,-0.089,-0.010324,0,5,0.0079997,-0.012089,0,6,-0.092,-0.030708,0,5
1.8111,0,6,0,0.075202,0,1,0,0.075202,0,4,0,0.075202,0,14,0.099,0.081946,0,16,-0.099,0.081946,0,3
2.1161,0,8,0,-0.019897,0,12,0.1,-0.1413,0,5,0.199,-0.043232,0,1,-0.303,-0.04253,0,8,-0.391,-0.21677,0,5
4.0067,0,14,0,0.0033426,0,16,0,0.0033426,0,3,0.102,0.004718,0,7,-0.00099993,0.0019306,0,8,-0.0020001,0.0050273,0,5
2.2322,0,9,0,0.097288,0,12,2.002,0.051397,0,9,-1.907,0.17549,0,12,-0.994,-0.028851,0,10,-3.1,-0.097826,0,1
1.5618,0,7,0,0.0036535,0,8,0.00099993,0.0036535,0,2,-0.00099993,0.0036535,0,5,0.303,0.00088798,0,4,-0.209,0.00060016,0,2
1.9786,0,5,0,0.002089,0,4,0.00099993,0.002089,0,8,0.099,-0.0038967,0,5,-0.0049996,-0.0038967,0,14,-0.094,-0.0043946,0,3
1.8154,0,2,0,0.027615,0,5,0.205,0.0038384,0,4,-0.205,0.0038384,0,1,-0.113,0.0038384,0,2,-0.297,0.0038384,0,4
2.8825,0,10,0,-0.096531,0,8,0.098,-0.096531,0,5,0.0010004,-0.096531,0,14,-0.096,-0.05529,0,7,-0.298,-0.05529,0,1
2.0607,0,12,0,0.020759,0,4,0.201,0.018333,0,3,-0.1,0.08611,0,9,-0.204,0.20639,0,12,0.3,0.23205,0,1
1.5709,0,14,0,-0.062697,0,5,0.4,-0.029903,0,4,-0.4,-0.029903,0,12,-0.4,-0.029903,0,8,-0.2,-0.087121,0,6
2.5793,0,1,0,0.013672,0,5,0.903,0.032107,0,8,-0.812,0.04176,0,13,-0.994,0.04176,0,5,-0.786,2.4917,0,1
2.1388,0,2,0,-0.037312,0,8,0.093,2.1762,0,10,-0.093,2.1762,0,0,0,0,0,0,0,0,0,4
2.7234,0,5,0,0.023674,0,4,0.0010002,0.023674,0,8,0.094,0.11654,0,2,-0.096,0.11654,0,5,0.503,0.0073284,0,1
1.9102,0,15,0,-0.034197,0,8,0.1,1.9444,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3.8616,0,6,0,-0.0013403,0,1,0,-0.0013403,0,4,0,-0.0013403,0,13,0,-0.0013403,0,7,0.095,-0.031019,0,5
1.7312,0,8,0,-0.01858,0,5,0.304,0.0017716,0,6,-0.205,-0.0022084,0,1,-0.308,1.7502,0,0,0,0,0,4
1.5552,0,4,0,0.0003913,0,3,0.098,0.0018438,0,5,0.505,-0.0010254,0,8,-0.607,1.554,0,0,0,0,0,2
1.9176,0,2,0,0.036798,0,7,0.096,0.036798,0,14,0.108,0.013906,0,5,-0.2,0.020779,0,4,-0.4,0.020779,0,4
1.7707,0,5,0,-0.012299,0,4,0.0010002,-0.012299,0,15,0.092,-0.025515,0,2,-0.093,-0.025515,0,12,0.0090001,-0.021991,0,3
2.7532,0,1,0,-0.056664,0,4,0,-0.056664,0,10,0,-0.056664,0,8,0.097,-0.046992,0,2,-0.093,-0.046992,0,1
1.9584,0,3,0,1.9584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3.6764,0,1,0,-0.0026473,0,2,0,-0.0026473,0,5,0.107,-0.00021417,0,1,-0.011,0,0,6,-0.104,0.0028452,0,5
3.975,0,8,0,-0.021097,0,5,0.3,-0.059685,0,4,-0.3,-0.059685,0,6,-0.1,-0.014436,0,8,-0.5,-0.014436,0,5
1.7829,0,3,0,-4.8442e-05,0,1,0.099,-4.8442e-05,0,4,-0.098,-4.8442e-05,0,6,-2.3842e-07,-0.01112,0,3,-0.2,-0.01112,0,4
3.671,0,5,0,0.0021577,0,1,0.098,0.0021577,0,5,0.104,0.0068658,0,8,-0.204,0.0026015,0,5,-0.193,0.00052115,0,5
