dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
1.687,0,1,0,-0.051808,0,12,0.00099993,-0.051808,0,2,0.2,-0.39344,0,4,0.495,-0.2091,0,5,-0.591,-0.095808,0,4
3.7036,0,10,0,-0.055499,0,14,0.302,0.032035,0,16,-0.301,0.032035,0,12,-0.0019999,0.054153,0,5,-0.509,0.038011,0,5
3.6944,0,8,0,-0.0091389,0,4,0,-0.0091389,0,1,0.101,0.0011622,0,3,-0.101,0.0011622,0,5,0.098,0.0052799,0,2
3.7753,0,1,0,-0.0012713,0,2,0.00099993,-0.0012713,0,5,0.1,0.0018077,0,6,-0.007,0.0018077,0,1,-0.197,0.0018077,0,5
3.786,0,6,0,0.006613,0,5,0,0.006613,0,3,0.097,0.006613,0,1,0.103,-0.020093,0,4,-0.197,-0.0066855,0,2
4.0682,0,5,0,-0.015258,0,1,0.1,-0.015258,0,5,-0.00099993,0.0021743,0,6,-0.097,0.0028378,0,1,-0.301,0.0028378,0,5
3.172,0,16,0,-0.30071,0,15,0.303,-0.31726,0,14,0.199,-0.080089,0,16,-0.805,-0.080089,0,15,-0.705,-0.10999,0,5
1.3037,0,12,0,-0.12088,0,6,0.309,-0.074582,0,3,-0.309,-0.074582,0,15,-0.215,-0.049919,0,10,-0.304,-0.1425,0,6
3.688,0,16,0,-0.14449,0,15,0.098,-0.064146,0,14,0.003,-0.16328,0,16,-0.199,-0.16328,0,5,0.099,-0.071602,0,6
3.8577,0,8,0,0.0031431,0,5,0.304,0.00051264,0,8,-0.208,-0.0032123,0,1,-0.301,0.00396,0,5,0.103,0.005102,0,1
3.3628,0,4,0,0.082907,0,5,0.1,0.132,0,2,-0.099,0.132,0,1,-0.0019996,0.132,0,14,-0.099,0.21652,0,7
3.4017,0,16,0,0.93354,0,5,1.304,0.080352,0,1,-1.205,0.20199,0,15,-1.202,0.073694,0,5,-1.504,0.073694,0,7
