dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
4.4041,0,2,0,4.4041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4.4041,0,1,0,4.4041,0,2,0,4.4041,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4.3923,0,4,0,-0.011864,0,1,0.1,4.4041,0,2,-0.1,4.4041,0,0,0,0,0,0,0,0,0,5
4.3923,0,5,0,-0.011864,0,4,0,-0.011864,0,1,0.1,4.4041,0,2,-0.1,4.4041,0,0,0,0,0,5
4.3641,0,8,0,-0.028194,0,5,0.2,-0.011864,0,4,-0.2,-0.011864,0,1,-0.1,4.4041,0,2,-0.3,4.4041,0,5
4.3637,0,5,0,-0.00037054,0,8,0.1,-0.028194,0,5,0.1,-0.011864,0,4,-0.3,-0.011864,0,1,-0.2,4.4041,0,5
4.3352,0,14,0,-0.028533,0,5,0.2,-0.00037054,0,8,-0.1,-0.028194,0,5,-0.1,-0.011864,0,4,-0.5,-0.011864,0,5
4.3272,0,15,0,-0.0079172,0,14,1.6,-0.028533,0,5,-1.4,-0.00037054,0,8,-1.7,-0.028194,0,5,-1.7,-0.011864,0,5
4.3271,0,1,0,-0.00015331,0,15,0.2,-0.0079172,0,14,1.4,-0.028533,0,5,-1.6,-0.00037054,0,8,-1.9,-0.028194,0,5
4.1537,0,3,0,4.1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4.1537,0,1,0,4.1537,0,3,0,4.1537,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4.1317,0,6,0,-0.02192,0,1,0.1,4.1537,0,3,-0.1,4.1537,0,0,0,0,0,0,0,0,0,5
4.1211,0,5,0,-0.010615,0,6,0.1,-0.02192,0,1,-2.3842e-07,4.1537,0,3,-0.2,4.1537,0,0,0,0,0,5
4.1,0,1,0,-0.021168,0,5,0.1,-0.010615,0,6,2.3842e-07,-0.02192,0,1,-0.1,4.1537,0,3,-0.3,4.1537,0,5
4.0793,0,4,0,-0.020689,0,1,0.1,-0.021168,0,5,0,-0.010615,0,6,-0.1,-0.02192,0,1,-0.2,4.1537,0,5
4.0793,0,5,0,-0.020689,0,4,0,-0.020689,0,1,0.1,-0.021168,0,5,0,-0.010615,0,6,-0.1,-0.02192,0,5
4.0785,0,8,0,-0.00076215,0,5,0.2,-0.020689,0,4,-0.2,-0.020689,0,1,-0.1,-0.021168,0,5,-0.2,-0.010615,0,5
4.0743,0,5,0,-0.0041692,0,8,0.1,-0.00076215,0,5,0.1,-0.020689,0,4,-0.3,-0.020689,0,1,-0.2,-0.021168,0,5
4.0708,0,1,0,-0.0035757,0,5,0.3,-0.0041692,0,8,-0.2,-0.00076215,0,5,-0.2,-0.020689,0,4,-0.6,-0.020689,0,5
4.079,0,5,0,0.0082023,0,1,0.1,-0.0035757,0,5,0.2,-0.0041692,0,8,-0.3,-0.00076215,0,5,-0.3,-0.020689,0,5
4.081,0,8,0,0.0020068,0,5,0.3,0.0082023,0,1,-0.2,-0.0035757,0,5,-0.1,-0.0041692,0,8,-0.6,-0.00076215,0,5
4.0873,0,5,0,0.0063378,0,8,0.1,0.0020068,0,5,0.2,0.0082023,0,1,-0.3,-0.0035757,0,5,-0.2,-0.0041692,0,5
4.0895,0,1,0,0.0021932,0,5,0.2,0.0063378,0,8,-0.1,0.0020068,0,5,-2.3842e-07,0.0082023,0,1,-0.5,-0.0035757,0,5
4.1028,0,5,0,0.013322,0,1,0.2,0.0021932,0,5,2.3842e-07,0.0063378,0,8,-0.3,0.0020068,0,5,-0.2,0.0082023,0,5
4.0956,0,8,0,-0.0072529,0,5,0.2,0.013322,0,1,-2.3842e-07,0.0021932,0,5,-0.2,0.0063378,0,8,-0.5,0.0020068,0,5
