dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
3.6428,0,5,0,0.047212,0,12,0,0.047212,0,1,0.1,0.21832,0,5,0.297,0.057629,0,8,-0.295,0.24966,0,7
3.6008,0,16,0,-0.01883,0,15,0.102,0.0027777,0,5,3.901,-0.00093767,0,8,-3.904,0.0096068,0,5,-3.507,-0.019025,0,1
3.4458,0,10,0,-0.12416,0,14,0.297,-0.065366,0,16,-0.297,-0.065366,0,15,2.107,0.0023591,0,14,-2.499,-0.00093707,0,5
3.6145,0,4,0,0.0024654,0,6,0.098,0.0059686,0,2,-0.097,0.0059686,0,1,-0.00099993,0.015204,0,12,0.803,0.0056718,0,1
1.6132,0,15,0,0.0087931,0,6,0,0.0087931,0,16,0.099,-0.014527,0,5,-0.098,-0.014527,0,4,-0.1,-0.014527,0,4
1.5647,0,1,0,-0.04311,0,2,0,-0.04311,0,3,0.1,-0.076837,0,10,-0.1,-0.076837,0,12,0.1,-0.28061,0,3
2.7235,0,16,0,-0.64181,0,15,0.902,-0.14696,0,5,-0.902,-0.14696,0,8,-0.704,-0.10487,0,10,-1.002,-0.035915,0,5
1.7849,0,16,0,2.4192e-05,0,5,0.1,-0.00012393,0,8,0.099,0.0010238,0,5,-0.101,0.0020537,0,1,-0.296,1.6618e-05,0,2
3.6802,0,4,0,0.011845,0,3,0.101,0.021541,0,12,-0.0010002,0.033185,0,4,-0.0019999,0.03481,0,9,-0.4,0.03481,0,1
2.5144,0,10,0,-0.092815,0,15,0.195,-0.10402,0,12,0.315,-0.024803,0,14,-0.605,-0.10719,0,16,-0.805,-0.10719,0,1
3.4054,0,5,0,-0.01106,0,1,0.097,-0.020253,0,5,0.0010002,-0.020253,0,6,0.006,-0.0014101,0,4,-0.395,0.00025506,0,1
3.5188,0,1,0,0.13143,0,14,0.399,0.034039,0,16,-0.399,0.034039,0,12,-0.1,0.04482,0,5,-0.497,0.044189,0,5
1.5647,0,2,0,-0.04311,0,3,0.1,-0.076837,0,10,-0.1,-0.076837,0,12,0.1,-0.28061,0,4,0.3,-0.10111,0,3
1.8903,0,5,0,-0.013002,0,11,0,-0.013002,0,16,0.099,0.0010825,0,6,-0.099,0.0010825,0,3,-0.099,0.0010825,0,3
1.7266,0,2,0,-0.026034,0,5,0.098,-0.022523,0,1,0.101,0.0075309,0,14,-0.195,0.029016,0,16,-0.398,0.029016,0,7
1.5866,0,8,0,-0.074647,0,2,0,-0.074647,0,5,0.095,-0.074647,0,4,-0.095,-0.074647,0,1,0.105,-0.077186,0,3
1.7766,0,8,0,-0.0016232,0,5,0.195,-0.00091392,0,1,0.006,-0.004555,0,5,-0.194,-0.0019658,0,8,-0.499,-0.0019658,0,2
1.695,0,15,0,-0.031647,0,8,0,-0.031647,0,10,0.00099993,-0.031647,0,14,0.205,-0.026034,0,2,-0.207,-0.026034,0,7
3.3545,0,16,0,-0.032371,0,5,0.103,-0.012977,0,8,-0.0029998,-0.0063055,0,12,-0.0030003,0.014308,0,5,-0.303,0.085397,0,1
2.5204,0,16,0,-0.092198,0,15,0.098,-1.1282,0,5,-0.097,-1.1282,0,1,0.00099969,-1.1282,0,14,1.097,-0.29779,0,3
4.1556,0,15,0,0.022545,0,5,0,0.022545,0,4,0,0.022545,0,12,0.00099993,0.022545,0,1,0.099,0.03904,0,7
2.8433,0,15,0,-0.096951,0,14,0.2,-0.051661,0,16,-0.2,-0.051661,0,15,-0.106,-0.12983,0,10,-0.293,-0.12983,0,1
3.3083,0,7,0,-0.086892,0,8,0,-0.086892,0,3,0.00099993,-0.086892,0,1,0.098,-0.17814,0,10,-0.1,-0.17814,0,1
1.7725,0,5,0,-0.00028046,0,8,0.199,0.00168,0,5,0.102,0.0032756,0,1,-0.399,0.0011076,0,15,-0.401,3.8297e-05,0,2
2.1231,0,15,0,-0.60301,0,14,0.603,-0.29077,0,16,-0.603,-0.29077,0,5,-0.202,-0.087404,0,4,-0.906,-0.14463,0,1
3.1715,0,9,0,0.044746,0,14,1.504,-0.051681,0,16,-1.504,-0.051681,0,12,-1.504,-0.051681,0,10,-1.406,-0.13739,0,1
3.5194,0,10,0,-0.048779,0,12,0.099,-0.023604,0,5,0.0029998,-0.1213,0,1,-0.0010004,-0.033941,0,4,-0.4,-0.033941,0,5
3.783,0,8,0,0.23057,0,6,0.197,0.071027,0,1,-0.197,0.071027,0,5,-0.098,0.14677,0,1,-0.09,0.086054,0,7
3.653,0,8,0,-0.027432,0,12,0.1,-0.093647,0,4,0.098,-0.12871,0,3,-0.197,-0.12871,0,10,-0.098,-0.13212,0,5
2.3939,0,3,0,0.080458,0,14,0.8,-0.0044711,0,16,-0.8,-0.0044711,0,4,-0.5,-0.0048926,0,2,-0.9,-0.027226,0,1
0.85515,0,3,0,0.036625,0,5,0.799,0.0061676,0,1,-0.697,-0.068721,0,15,-0.006,-0.10476,0,12,-1.393,-0.25822,0,1
3.5788,0,2,0,0.057785,0,4,0.101,0.015811,0,5,-0.0020001,0.019259,0,3,-0.2,0.019259,0,8,-0.1,0.040889,0,1
1.633,0,9,0,0.066798,0,5,0.4,0.0080309,0,15,-0.299,-0.039842,0,4,-0.501,-0.039842,0,14,-0.306,-0.010146,0,3
1.6121,0,14,0,0.00075024,0,16,0.0010002,0.00075024,0,5,0.1,-0.0069691,0,15,-0.00099993,-0.021354,0,4,-0.203,-0.021354,0,3
3.3065,0,9,0,0.065246,0,5,0.099,0.065246,0,8,0.0019999,0.0092783,0,12,-0.2,0.0092783,0,5,-0.101,0.040337,0,1
1.8656,0,4,0,0.039324,0,9,0.00099993,0.039324,0,2,0.102,0.024688,0,14,0.094,0.031336,0,16,-0.302,0.031336,0,1
3.3913,0,10,0,-0.10271,0,12,0.301,-0.071034,0,10,-0.201,-0.13453,0,12,2.795,0.17141,0,9,-3.096,0.08799,0,1
4.24,0,5,0,0.0019248,0,8,0.1,0.048676,0,5,0.301,0.033831,0,1,-0.403,0.033831,0,15,-0.5,0.022545,0,1
0.90243,0,8,0,0.050719,0,5,0.902,-0.0034402,0,4,-0.902,-0.0034402,0,1,-0.803,0.036625,0,3,-1.001,0.036625,0,1
3.5016,0,16,0,0.00057169,0,5,0.0010002,0.00057169,0,4,-0.0010002,0.00057169,0,1,0.098,-0.0062531,0,2,-0.099,-0.0062531,0,5
1.7697,0,15,0,-0.065507,0,14,0.7,-0.028655,0,16,-0.7,-0.028655,0,12,-0.604,-0.06322,0,10,-0.596,-0.12435,0,1
2.0766,0,2,0,-0.10977,0,4,0.301,-0.056776,0,6,-0.201,-0.2578,0,5,-0.401,-0.2578,0,3,-0.206,-0.24326,0,4
3.6121,0,6,0,0.0059686,0,2,0.0010002,0.0059686,0,1,0.097,0.015204,0,12,0.901,0.0056718,0,4,-0.901,0.11215,0,1
3.187,0,16,0,0.067475,0,1,0,0.067475,0,4,0.1,0.059984,0,3,-0.0030003,0.33416,0,5,0.105,0.080682,0,7
3.5909,0,12,0,0.0056718,0,4,0.198,0.11215,0,2,-0.101,-0.0083006,0,9,-0.295,-0.0083006,0,12,0.211,-0.020259,0,1
3.5797,0,8,0,0.014883,0,3,0,0.014883,0,4,0.098,0.014883,0,2,0.0020003,0.044025,0,5,0.206,0.0094939,0,5
1.7767,0,5,0,7.4751e-05,0,8,0.102,-0.0016232,0,5,0.093,-0.00091392,0,1,-0.096,-0.004555,0,5,-0.296,-0.0019658,0,2
3.2584,0,1,0,-0.0093347,0,2,0,-0.0093347,0,4,0.402,-0.0050297,0,3,-0.202,-0.011768,0,5,-0.201,-0.00058637,0,1
2.7136,0,2,0,0.073415,0,14,0.198,0.24876,0,16,-0.198,0.24876,0,5,-0.197,0.24876,0,4,0.0010002,0.089924,0,1
2.932,0,5,0,0.028912,0,8,0.103,0.048002,0,1,-0.0019999,0.074132,0,9,-0.204,0.074132,0,8,-0.105,0.074132,0,1
1.998,0,15,0,0.13026,0,12,0.899,0.0902,0,14,-0.601,0.15955,0,16,-1.197,0.15955,0,9,-1.197,0.15955,0,1
1.6624,0,15,0,-0.0016113,0,14,0.699,-0.027981,0,16,-0.698,-0.027981,0,15,-0.2,-0.055851,0,14,-0.301,-0.14552,0,1
2.8802,0,16,0,-0.20852,0,10,0.301,-0.071996,0,15,-0.101,-0.047502,0,12,-0.202,-0.025045,0,14,-0.696,-0.33761,0,1
1.7161,0,16,0,0.083056,0,15,0.202,0.021009,0,14,0.195,0.00075024,0,16,-0.598,0.00075024,0,5,-0.499,-0.0069691,0,1
1.6402,0,12,0,-0.014164,0,4,0.101,-0.057094,0,3,-0.003,-0.048497,0,4,-0.096,-0.048497,0,8,-0.203,-0.24716,0,6
3.5283,0,5,0,0.077581,0,4,0,0.077581,0,1,0.099,0.076971,0,2,-0.099,0.076971,0,5,-0.0080004,0.084508,0,1
3.7131,0,14,0,-0.033941,0,8,0,-0.033941,0,3,0,-0.033941,0,5,0.095,-0.0019269,0,4,-0.095,-0.0019269,0,5
3.4446,0,10,0,-0.15622,0,14,0.698,-0.01883,0,16,-0.698,-0.01883,0,15,-0.596,0.0027777,0,5,3.203,-0.00093767,0,1
1.9131,0,14,0,-0.0055,0,16,0,-0.0055,0,15,0.496,0.014126,0,14,0.311,0.014396,0,16,-1.303,0.014396,0,1
1.8175,0,5,0,0.019716,0,1,0.099,0.0058515,0,15,0.0020001,0.0094255,0,5,-0.099,0.0094255,0,8,-0.101,0.0045387,0,7
1.5609,0,8,0,-0.47985,0,4,0.701,-0.075003,0,5,-0.602,-0.10759,0,6,-0.699,-0.10759,0,8,-0.9,-0.10759,0,3
2.5142,0,1,0,0.23033,0,4,0.401,0.1506,0,5,-0.302,0.049929,0,3,-0.499,0.049929,0,1,-0.401,0.34999,0,7
4.1663,0,16,0,-0.017923,0,4,0.803,0.5429,0,12,-0.803,0.5429,0,2,-0.704,0.5429,0,5,0.003,0.062551,0,1
1.8364,0,8,0,0.018929,0,5,0.204,0.019716,0,1,-0.105,0.0058515,0,15,-0.202,0.0094255,0,5,-0.303,0.0094255,0,7
0.89803,0,14,0,-2.884e-05,0,16,0,-2.884e-05,0,5,0.202,-0.0043769,0,4,-0.202,-0.0043769,0,1,-0.0010002,0.050719,0,1
1.7034,0,5,0,0.032613,0,4,0,0.060606,0,1,0.101,0.060606,0,3,-0.101,0.026831,0,5,0.299,-0.012951,0,5
3.612,0,2,0,-0.0025594,0,5,0.098,0.0002822,0,4,-0.098,0.0002822,0,1,-0.0010002,0.0012521,0,3,-0.195,0.0012521,0,1
1.6544,0,4,0,-0.057094,0,3,0.098,-0.048497,0,4,0.0049999,-0.048497,0,8,-0.102,-0.24716,0,3,-0.3,-0.24716,0,6
3.2489,0,2,0,-0.05942,0,4,0.099,-0.05942,0,15,0.0020001,-0.086892,0,7,-0.2,-0.086892,0,8,-0.2,-0.086892,0,1
3.5188,0,6,0,0.13143,0,1,0,0.13143,0,14,0.399,0.034039,0,16,-0.399,0.034039,0,12,-0.1,0.04482,0,5
3.6171,0,10,0,-0.035915,0,5,0.105,-0.027432,0,8,-0.007,-0.027432,0,12,-0.103,-0.093647,0,4,-0.105,-0.12871,0,5
4.1842,0,12,0,0.5429,0,2,0.099,0.5429,0,5,0.806,0.062551,0,8,-0.902,0.050514,0,5,-1.006,0.077581,0,1
1.7667,0,16,0,0.0002647,0,5,0,0.0002647,0,11,0.0010002,0.0002647,0,15,0.102,4.451e-05,0,4,-0.104,4.451e-05,0,2
3.4401,0,12,0,-0.10428,0,10,0.401,-0.17723,0,12,0.4,-0.2534,0,10,-0.601,-0.098566,0,15,-1.306,-0.053635,0,1
3.5734,0,1,0,-0.0090654,0,5,0.099,0.002747,0,4,-0.099,0.002747,0,14,-0.00099993,0.014883,0,8,-0.197,0.014883,0,5
3.5113,0,1,0,0.009672,0,16,0.296,0.00057169,0,5,-0.295,0.00057169,0,4,-0.297,0.00057169,0,1,-0.198,-0.0062531,0,5
2.1158,0,11,0,-0.10759,0,15,0.101,-0.29704,0,1,-0.101,-0.29704,0,3,-0.101,-0.29704,0,14,-0.0029998,-0.092198,0,3
2.5082,0,14,0,0.069911,0,16,0,0.069911,0,5,0.098,0.17422,0,15,0.0040002,0.10822,0,8,-0.2,0.10822,0,7
3.5194,0,1,0,-0.048779,0,10,0,-0.048779,0,12,0.099,-0.023604,0,5,0.0029998,-0.1213,0,1,-0.0010004,-0.033941,0,5
3.3604,0,14,0,0.017036,0,16,0,0.017036,0,12,0,0.017036,0,15,0.197,0.23742,0,14,0.205,0.11143,0,1
2.3762,0,15,0,-0.48483,0,14,0.599,-0.16531,0,16,-0.599,-0.16531,0,10,-0.297,-0.18024,0,5,-0.401,-0.0033551,0,1
2.7809,0,1,0,0.020246,0,8,0.1,0.040902,0,5,0.203,0.022535,0,1,-0.304,0.30341,0,12,-0.502,0.30341,0,1
1.9186,0,15,0,0.014126,0,14,0.807,0.014396,0,16,-0.807,0.014396,0,15,-0.509,0.14876,0,14,-0.205,0.033008,0,1
2.0663,0,3,0,-0.0543,0,15,0.1,-0.0543,0,1,0.0020001,-0.60285,0,14,0.494,-0.64181,0,16,-0.897,-0.64181,0,3
3.2369,0,3,0,-0.010367,0,14,0.097,-0.003839,0,8,0.0060003,-0.003839,0,6,-0.099,0.00010674,0,7,-0.201,-0.00059883,0,1
1.6708,0,4,0,0.060606,0,1,0.101,0.060606,0,3,-0.101,0.026831,0,5,0.299,-0.012951,0,8,-0.302,-0.045764,0,5
3.4859,0,8,0,0.040889,0,14,0.2,0.12678,0,16,-0.2,0.12678,0,12,-0.102,0.12678,0,15,0.105,0.064705,0,1
1.3203,0,4,0,-0.0049301,0,1,0.103,-0.047065,0,12,-0.103,-0.047065,0,5,-0.0039999,-0.047065,0,8,-0.102,-0.070764,0,3
2.3939,0,4,0,0.080458,0,9,0,0.080458,0,15,0.099,0.080458,0,3,-0.098,0.080458,0,14,0.7,-0.0044711,0,1
3.3488,0,15,0,0.0038305,0,14,2.099,-0.0037353,0,16,-2.098,-0.0037353,0,15,-1.599,0.0025437,0,14,4.605,0.0077815,0,1
4.1894,0,1,0,0.033831,0,15,0.099,0.022545,0,5,-0.099,0.022545,0,4,-0.099,0.022545,0,12,-0.098,0.022545,0,7
3.3445,0,5,0,-0.015835,0,15,0.094,-0.015835,0,1,-0.094,-0.015835,0,14,0.514,0.017036,0,16,-0.702,0.017036,0,1
